date,value
1996-02-02 00:00:00,70.0
1996-03-02 00:00:00,70.1
1996-04-02 00:00:00,70.5
1996-05-02 00:00:00,70.6
1996-06-02 00:00:00,70.5
1996-07-02 00:00:00,70.4
1996-08-02 00:00:00,70.4
1996-09-02 00:00:00,70.5
1996-10-02 00:00:00,70.9
1996-11-02 00:00:00,70.9
1996-12-02 00:00:00,71.0
1997-01-02 00:00:00,71.4
1997-02-02 00:00:00,71.3
1997-03-02 00:00:00,71.0
1997-04-02 00:00:00,71.3
1997-05-02 00:00:00,71.6
1997-06-02 00:00:00,71.6
1997-07-02 00:00:00,71.7
1997-08-02 00:00:00,71.6
1997-09-02 00:00:00,71.7
1997-10-02 00:00:00,71.7
1997-11-02 00:00:00,71.8
1997-12-02 00:00:00,71.7
1998-01-02 00:00:00,71.7
1998-02-02 00:00:00,71.9
1998-03-02 00:00:00,71.7
1998-04-02 00:00:00,72.2
1998-05-02 00:00:00,72.5
1998-06-02 00:00:00,72.4
1998-07-02 00:00:00,72.6
1998-08-02 00:00:00,72.3
1998-09-02 00:00:00,72.2
1998-10-02 00:00:00,72.2
1998-11-02 00:00:00,72.2
1998-12-02 00:00:00,72.2
1999-01-02 00:00:00,72.4
1999-02-02 00:00:00,72.6
1999-03-02 00:00:00,72.7
1999-04-02 00:00:00,72.9
1999-05-02 00:00:00,73.1
1999-06-02 00:00:00,72.9
1999-07-02 00:00:00,73.1
1999-08-02 00:00:00,72.9
1999-09-02 00:00:00,73.2
1999-10-02 00:00:00,73.2
1999-11-02 00:00:00,73.4
1999-12-02 00:00:00,73.6
2000-01-02 00:00:00,72.7
2000-02-02 00:00:00,74.1
2000-03-02 00:00:00,74.5
2000-04-02 00:00:00,74.6
2000-05-02 00:00:00,74.8
2000-06-02 00:00:00,75.1
2000-07-02 00:00:00,74.4
2000-08-02 00:00:00,75.5
2000-09-02 00:00:00,76.0
2000-10-02 00:00:00,75.9
2000-11-02 00:00:00,76.0
2000-12-02 00:00:00,75.8
2001-01-02 00:00:00,74.6
2001-02-02 00:00:00,76.0
2001-03-02 00:00:00,76.1
2001-04-02 00:00:00,76.8
2001-05-02 00:00:00,77.2
2001-06-02 00:00:00,77.3
2001-07-02 00:00:00,76.4
2001-08-02 00:00:00,77.4
2001-09-02 00:00:00,77.5
2001-10-02 00:00:00,77.4
2001-11-02 00:00:00,77.4
2001-12-02 00:00:00,77.3
2002-01-02 00:00:00,76.6
2002-02-02 00:00:00,77.9
2002-03-02 00:00:00,78.0
2002-04-02 00:00:00,78.1
2002-05-02 00:00:00,78.2
2002-06-02 00:00:00,78.0
2002-07-02 00:00:00,77.3
2002-08-02 00:00:00,78.3
2002-09-02 00:00:00,78.4
2002-10-02 00:00:00,78.3
2002-11-02 00:00:00,78.2
2002-12-02 00:00:00,78.3
2003-01-02 00:00:00,77.5
2003-02-02 00:00:00,79.2
2003-03-02 00:00:00,79.4
2003-04-02 00:00:00,79.2
2003-05-02 00:00:00,78.9
2003-06-02 00:00:00,79.2
2003-07-02 00:00:00,78.3
2003-08-02 00:00:00,79.6
2003-09-02 00:00:00,79.8
2003-10-02 00:00:00,79.5
2003-11-02 00:00:00,79.6
