date,value
1999-02-02 00:00:00,256.483
1999-03-02 00:00:00,262.813
1999-04-02 00:00:00,263.95
1999-05-02 00:00:00,260.169
1999-06-02 00:00:00,252.676
1999-07-02 00:00:00,247.551
1999-08-02 00:00:00,242.101
1999-09-02 00:00:00,251.812
1999-10-02 00:00:00,290.796
1999-11-02 00:00:00,283.778
1999-12-02 00:00:00,280.504
2000-01-02 00:00:00,280.439
2000-02-02 00:00:00,305.497
2000-03-02 00:00:00,297.008
2000-04-02 00:00:00,295.335
2000-05-02 00:00:00,303.619
2000-06-02 00:00:00,300.404
2000-07-02 00:00:00,299.978
2000-08-02 00:00:00,303.154
2000-09-02 00:00:00,314.021
2000-10-02 00:00:00,316.0
2000-11-02 00:00:00,310.494
2000-12-02 00:00:00,302.928
2001-01-02 00:00:00,283.067
2001-02-02 00:00:00,284.101
2001-03-02 00:00:00,289.291
2001-04-02 00:00:00,292.073
2001-05-02 00:00:00,311.056
2001-06-02 00:00:00,316.916
2001-07-02 00:00:00,311.152
2001-08-02 00:00:00,302.795
2001-09-02 00:00:00,309.983
2001-10-02 00:00:00,312.588
2001-11-02 00:00:00,310.959
2001-12-02 00:00:00,309.001
2002-01-02 00:00:00,318.88
2002-02-02 00:00:00,339.739
2002-03-02 00:00:00,335.95
2002-04-02 00:00:00,341.754
2002-05-02 00:00:00,342.908
2002-06-02 00:00:00,335.974
2002-07-02 00:00:00,315.991
2002-08-02 00:00:00,316.949
2002-09-02 00:00:00,324.953
2002-10-02 00:00:00,322.647
2002-11-02 00:00:00,318.722
2002-12-02 00:00:00,326.912
2003-01-02 00:00:00,335.814
2003-02-02 00:00:00,333.671
2003-03-02 00:00:00,315.801
2003-04-02 00:00:00,302.349
2003-05-02 00:00:00,307.29
2003-06-02 00:00:00,305.713
2003-07-02 00:00:00,308.369
2003-08-02 00:00:00,321.634
2003-09-02 00:00:00,337.517
2003-10-02 00:00:00,323.799
2003-11-02 00:00:00,333.396
2003-12-02 00:00:00,331.99
2004-01-02 00:00:00,328.45
2004-02-02 00:00:00,319.911
2004-03-02 00:00:00,330.837
2004-04-02 00:00:00,337.372
2004-05-02 00:00:00,319.73
2004-06-02 00:00:00,322.726
2004-07-02 00:00:00,324.71
2004-08-02 00:00:00,328.298
2004-09-02 00:00:00,331.896
2004-10-02 00:00:00,336.405
2004-11-02 00:00:00,338.315
2004-12-02 00:00:00,330.829
